,title,year,certificate,time,genre,rating,metascore,simple_desc,votes
0,"1.
Whiplash
(2014)",(2014),R,106 min,"Drama, Music",8.5,"88        
        Metascore",A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Votes:
813,006
| Gross:
$13.09M"
1,"2.
The Pianist
(2002)",(2002),R,150 min,"Biography, Drama, Music",8.5,"85        
        Metascore",A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,"Votes:
807,728
| Gross:
$32.57M"
2,"3.
Coco
(I) (2017)",(I) (2017),G,105 min,"Animation, Adventure, Comedy",8.4,"81        
        Metascore","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Votes:
480,140
| Gross:
$209.73M"
3,"4.
Amadeus
(1984)",(1984),R,160 min,"Biography, Drama, Music",8.4,"88        
        Metascore","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","Votes:
394,417
| Gross:
$51.97M"
4,"6.
Green Book
(2018)",(2018),15,130 min,"Biography, Comedy, Drama",8.2,"69        
        Metascore",A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,"Votes:
466,719
| Gross:
$85.08M"
5,"7.
Some Like It Hot
(1959)",(1959),G,121 min,"Comedy, Music, Romance",8.2,"98        
        Metascore","After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.","Votes:
262,831
| Gross:
$25.00M"
6,"8.
Ba wang bie ji
(1993)",(1993),R,171 min,"Drama, Music, Romance",8.1,"83        
        Metascore",Two boys meet at an opera training school in Peking in 1924. Their resulting friendship will span nearly 70 years and will endure some of the most troublesome times in China's history.,"Votes:
28,411
| Gross:
$5.22M"
7,"11.
La La Land
(2016)",(2016),PG-13,128 min,"Comedy, Drama, Music",8.0,"94        
        Metascore","While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.","Votes:
567,233
| Gross:
$151.10M"
8,"12.
Soul
(2020)",(2020),PG,100 min,"Animation, Adventure, Comedy",8.0,"83        
        Metascore","After landing the gig of a lifetime, a New York jazz pianist suddenly finds himself trapped in a strange land between Earth and the afterlife.","Votes:
311,033"
9,"13.
Okuribito
(2008)",(2008),PG-13,130 min,"Drama, Music",8.0,"68        
        Metascore",A newly unemployed cellist takes a job preparing the dead for funerals.,"Votes:
51,756
| Gross:
$1.50M"
10,"14.
CODA
(2021)",(2021),PG-13,111 min,"Comedy, Drama, Music",8.0,"74        
        Metascore","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.","Votes:
111,863"
11,"15.
La leggenda del pianista sull'oceano
(1998)",(1998),R,169 min,"Drama, Music, Romance",8.0,"58        
        Metascore","A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.","Votes:
63,618
| Gross:
$0.26M"
12,"16.
Pink Floyd: The Wall
(1982)",(1982),12,95 min,"Drama, Fantasy, Music",8.0,"47        
        Metascore",A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,"Votes:
80,366
| Gross:
$22.24M"
13,"17.
Sing Street
(2016)",(2016),PG-13,106 min,"Comedy, Drama, Music",7.9,"79        
        Metascore",A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,"Votes:
92,498
| Gross:
$3.24M"
14,"19.
Bohemian Rhapsody
(2018)",(2018),18,134 min,"Biography, Drama, Music",7.9,"49        
        Metascore","The story of the legendary British rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).","Votes:
518,979
| Gross:
$216.43M"
15,"20.
Almost Famous
(2000)",(2000),R,122 min,"Adventure, Comedy, Drama",7.9,"90        
        Metascore",A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,"Votes:
272,714
| Gross:
$32.53M"
16,"21.
Trois couleurs: Bleu
(1993)",(1993),R,94 min,"Drama, Music, Mystery",7.9,"85        
        Metascore",A woman struggles to find a way to live her life after the death of her husband and child.,"Votes:
100,338
| Gross:
$1.32M"
17,"24.
Straight Outta Compton
(2015)",(2015),R,147 min,"Biography, Drama, History",7.8,"72        
        Metascore","The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.","Votes:
197,868
| Gross:
$161.20M"
18,"25.
Once
(I) (2007)",(I) (2007),R,86 min,"Drama, Music, Romance",7.8,"88        
        Metascore","A modern-day musical about a busker and an immigrant and their eventful week in Dublin, as they write, rehearse and record songs that tell their love story.","Votes:
115,912
| Gross:
$9.44M"
19,"26.
Les choristes
(2004)",(2004),PG-13,97 min,"Comedy, Drama, Music",7.8,"56        
        Metascore",The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,"Votes:
61,599
| Gross:
$3.64M"
20,"27.
Walk the Line
(2005)",(2005),PG-13,136 min,"Biography, Drama, Music",7.8,"72        
        Metascore","A chronicle of country music legend Johnny Cash's life, from his early days on an Arkansas cotton farm to his rise to fame with Sun Records in Memphis, where he recorded alongside Elvis Presley, Jerry Lee Lewis, and Carl Perkins.","Votes:
248,080
| Gross:
$119.52M"
21,"30.
Sound of Metal
(2019)",(2019),R,120 min,"Drama, Music",7.7,"82        
        Metascore",A heavy-metal drummer's life is thrown into freefall when he begins to lose his hearing.,"Votes:
120,047"
22,"33.
Joyeux Noël
(2005)",(2005),PG-13,116 min,"Drama, History, Music",7.7,"70        
        Metascore","In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.","Votes:
29,698
| Gross:
$1.05M"
23,"34.
Control
(2007)",(2007),R,122 min,"Biography, Drama, Music",7.7,"78        
        Metascore","A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.","Votes:
64,892
| Gross:
$0.87M"
24,"35.
Ray
(I) (2004)",(I) (2004),PG-13,152 min,"Biography, Drama, Music",7.7,"73        
        Metascore","The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.","Votes:
146,398
| Gross:
$75.33M"
25,"36.
Billy Elliot
(2000)",(2000),R,110 min,"Drama, Music",7.7,"74        
        Metascore",A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,"Votes:
133,919
| Gross:
$22.00M"
26,"37.
Hedwig and the Angry Inch
(2001)",(2001),R,95 min,"Comedy, Drama, Music",7.7,"85        
        Metascore",A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,"Votes:
35,387
| Gross:
$3.03M"
27,"38.
O Brother, Where Art Thou?
(2000)",(2000),PG-13,107 min,"Adventure, Comedy, Crime",7.7,"69        
        Metascore","In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","Votes:
307,515
| Gross:
$45.51M"
28,"39.
Shine
(1996)",(1996),PG-13,105 min,"Biography, Drama, Music",7.7,"87        
        Metascore","Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.","Votes:
54,031
| Gross:
$35.81M"
29,"40.
La double vie de Véronique
(1991)",(1991),R,98 min,"Drama, Fantasy, Music",7.7,"86        
        Metascore","Two parallel stories about two identical women; one living in Poland, the other in France. They don't know each other, but their lives are nevertheless profoundly connected.","Votes:
47,945
| Gross:
$2.00M"
30,"44.
Baby Driver
(2017)",(2017),R,113 min,"Action, Crime, Drama",7.6,"86        
        Metascore","After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Votes:
514,875
| Gross:
$107.83M"
31,"45.
A Star Is Born
(2018)",(2018),18,136 min,"Drama, Music, Romance",7.6,"88        
        Metascore",A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,"Votes:
374,129
| Gross:
$215.29M"
32,"46.
La Vie en Rose
(2007)",(2007),PG-13,140 min,"Biography, Drama, Music",7.6,"66        
        Metascore","Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.","Votes:
86,562
| Gross:
$10.30M"
33,"47.
Le violon rouge
(1998)",(1998),R,130 min,"Drama, Music, Mystery",7.6,"57        
        Metascore","A red-colored violin inspires passion, making its way through three centuries over several owners and countries, eventually ending up at an auction where it may find a new owner.","Votes:
32,994
| Gross:
$9.47M"
34,"48.
The Commitments
(1991)",(1991),R,118 min,"Comedy, Drama, Music",7.6,"73        
        Metascore","Jimmy Rabbitte, an unemployed Dublin boy, decides to put together a soul band made up entirely of the Irish working class.","Votes:
35,361
| Gross:
$14.92M"
35,"49.
Zimna wojna
(2018)",(2018),R,89 min,"Drama, History, Music",7.5,"90        
        Metascore","In the 1950s, a music director falls in love with a singer and tries to persuade her to flee communist Poland for France.","Votes:
56,002
| Gross:
$4.57M"
36,"50.
La pianiste
(2001)",(2001),18,131 min,"Drama, Music",7.5,"79        
        Metascore",A young man romantically pursues his masochistic piano teacher.,"Votes:
63,185
| Gross:
$1.90M"
